Date,Close
04/01/2016 16:00:00,54.8
05/01/2016 16:00:00,55.05
06/01/2016 16:00:00,54.05
07/01/2016 16:00:00,52.17
08/01/2016 16:00:00,52.33
11/01/2016 16:00:00,52.3
12/01/2016 16:00:00,52.78
13/01/2016 16:00:00,51.64
14/01/2016 16:00:00,53.11
15/01/2016 16:00:00,50.99
19/01/2016 16:00:00,50.56
20/01/2016 16:00:00,50.79
21/01/2016 16:00:00,50.48
22/01/2016 16:00:00,52.29
25/01/2016 16:00:00,51.79
26/01/2016 16:00:00,52.17
27/01/2016 16:00:00,51.22
28/01/2016 16:00:00,52.06
29/01/2016 16:00:00,55.09
01/02/2016 16:00:00,54.71
02/02/2016 16:00:00,53
03/02/2016 16:00:00,52.16
04/02/2016 16:00:00,52
05/02/2016 16:00:00,50.16
08/02/2016 16:00:00,49.41
09/02/2016 16:00:00,49.28
10/02/2016 16:00:00,49.71
11/02/2016 16:00:00,49.69
12/02/2016 16:00:00,50.5
16/02/2016 16:00:00,51.09
17/02/2016 16:00:00,52.42
18/02/2016 16:00:00,52.19
19/02/2016 16:00:00,51.82
22/02/2016 16:00:00,52.65
23/02/2016 16:00:00,51.18
24/02/2016 16:00:00,51.36
25/02/2016 16:00:00,52.1
26/02/2016 16:00:00,51.3
29/02/2016 16:00:00,50.88
01/03/2016 16:00:00,52.58
02/03/2016 16:00:00,52.95
03/03/2016 16:00:00,52.35
04/03/2016 16:00:00,52.03
07/03/2016 16:00:00,51.03
08/03/2016 16:00:00,51.65
09/03/2016 16:00:00,52.84
10/03/2016 16:00:00,52.05
11/03/2016 16:00:00,53.07
14/03/2016 16:00:00,53.17
15/03/2016 16:00:00,53.59
16/03/2016 16:00:00,54.35
17/03/2016 16:00:00,54.66
18/03/2016 16:00:00,53.49
21/03/2016 16:00:00,53.86
22/03/2016 16:00:00,54.07
23/03/2016 16:00:00,53.97
24/03/2016 16:00:00,54.21
28/03/2016 16:00:00,53.54
29/03/2016 16:00:00,54.71
30/03/2016 16:00:00,55.05
31/03/2016 16:00:00,55.23
01/04/2016 16:00:00,55.57
04/04/2016 16:00:00,55.43
05/04/2016 16:00:00,54.56
06/04/2016 16:00:00,55.12
07/04/2016 16:00:00,54.46
08/04/2016 16:00:00,54.42
11/04/2016 16:00:00,54.31
12/04/2016 16:00:00,54.65
13/04/2016 16:00:00,55.35
14/04/2016 16:00:00,55.36
15/04/2016 16:00:00,55.65
18/04/2016 16:00:00,56.46
19/04/2016 16:00:00,56.39
20/04/2016 16:00:00,55.59
21/04/2016 16:00:00,55.78
22/04/2016 16:00:00,51.78
25/04/2016 16:00:00,52.11
26/04/2016 16:00:00,51.44
27/04/2016 16:00:00,50.94
28/04/2016 16:00:00,49.9
29/04/2016 16:00:00,49.87
02/05/2016 16:00:00,50.61
03/05/2016 16:00:00,49.78
04/05/2016 16:00:00,49.87
05/05/2016 16:00:00,49.94
06/05/2016 16:00:00,50.39
09/05/2016 16:00:00,50.07
10/05/2016 16:00:00,51.02
11/05/2016 16:00:00,51.05
