Date,Close
04/01/2016 16:00:00,44.68
05/01/2016 16:00:00,44.69
06/01/2016 16:00:00,43.81
07/01/2016 16:00:00,43.13
08/01/2016 16:00:00,42.2
11/01/2016 16:00:00,41.57
12/01/2016 16:00:00,41.99
13/01/2016 16:00:00,40.06
14/01/2016 16:00:00,41.24
15/01/2016 16:00:00,41
19/01/2016 16:00:00,40.94
20/01/2016 16:00:00,39.74
21/01/2016 16:00:00,39.99
22/01/2016 16:00:00,40.51
25/01/2016 16:00:00,39.28
26/01/2016 16:00:00,38.71
27/01/2016 16:00:00,37.61
28/01/2016 16:00:00,37.94
29/01/2016 16:00:00,38.24
01/02/2016 16:00:00,39.39
02/02/2016 16:00:00,36.56
03/02/2016 16:00:00,34.7
04/02/2016 16:00:00,35.07
05/02/2016 16:00:00,32.52
08/02/2016 16:00:00,29.6
09/02/2016 16:00:00,29.65
10/02/2016 16:00:00,28.73
11/02/2016 16:00:00,30.09
12/02/2016 16:00:00,30.21
16/02/2016 16:00:00,31.03
17/02/2016 16:00:00,33.74
18/02/2016 16:00:00,33.35
19/02/2016 16:00:00,33.32
22/02/2016 16:00:00,35.55
23/02/2016 16:00:00,35.44
24/02/2016 16:00:00,35.8
25/02/2016 16:00:00,37.49
26/02/2016 16:00:00,38.07
29/02/2016 16:00:00,38.39
01/03/2016 16:00:00,37.27
02/03/2016 16:00:00,37.67
03/03/2016 16:00:00,39.15
04/03/2016 16:00:00,40.21
07/03/2016 16:00:00,41.06
08/03/2016 16:00:00,40.52
09/03/2016 16:00:00,41.74
10/03/2016 16:00:00,41.04
11/03/2016 16:00:00,41.5
14/03/2016 16:00:00,43.03
15/03/2016 16:00:00,43.67
16/03/2016 16:00:00,44.39
17/03/2016 16:00:00,45.28
18/03/2016 16:00:00,46.55
21/03/2016 16:00:00,47.66
22/03/2016 16:00:00,46.85
23/03/2016 16:00:00,44.52
24/03/2016 16:00:00,45.55
28/03/2016 16:00:00,46.05
29/03/2016 16:00:00,46.03
30/03/2016 16:00:00,45.38
31/03/2016 16:00:00,45.95
01/04/2016 16:00:00,47.52
04/04/2016 16:00:00,49.4
05/04/2016 16:00:00,51.09
06/04/2016 16:00:00,53.08
07/04/2016 16:00:00,51.44
08/04/2016 16:00:00,50.01
11/04/2016 16:00:00,49.98
12/04/2016 16:00:00,49.56
13/04/2016 16:00:00,50.91
14/04/2016 16:00:00,50.37
15/04/2016 16:00:00,50.9
18/04/2016 16:00:00,50.78
19/04/2016 16:00:00,49.47
20/04/2016 16:00:00,49.99
21/04/2016 16:00:00,49.66
22/04/2016 16:00:00,50.75
25/04/2016 16:00:00,50.36
26/04/2016 16:00:00,50.75
27/04/2016 16:00:00,50.29
28/04/2016 16:00:00,49.54
29/04/2016 16:00:00,48.15
02/05/2016 16:00:00,48.36
03/05/2016 16:00:00,46.46
04/05/2016 16:00:00,44.51
05/05/2016 16:00:00,42.31
06/05/2016 16:00:00,42.99
09/05/2016 16:00:00,41.78
10/05/2016 16:00:00,41.74
11/05/2016 16:00:00,41.79
12/05/2016 16:00:00,41.46
13/05/2016 16:00:00,41.52
16/05/2016 16:00:00,41.66
17/05/2016 16:00:00,40.93
18/05/2016 16:00:00,42.23
19/05/2016 16:00:00,43.04
20/05/2016 16:00:00,44.06
23/05/2016 16:00:00,43.24
24/05/2016 16:00:00,43.58
25/05/2016 16:00:00,43.92
26/05/2016 16:00:00,45.02
27/05/2016 16:00:00,44.61
31/05/2016 16:00:00,44.65
01/06/2016 16:00:00,43.91
02/06/2016 16:00:00,43.79
03/06/2016 16:00:00,43.8
